"date","value"
"2017/2/12","1005"
"2017/2/13","1002"
"2017/2/17","1053"
"2017/2/18","1061"
"2017/2/19","1057"
"2017/2/23","1177"
"2017/2/24","1200"
"2017/2/26","1167"
"2017/3/1","1223"
"2017/3/2","1262"
"2017/3/3","1280"
"2017/3/7","1276"
"2017/3/8","1232"
"2017/3/10","1270"
"2017/3/11","1194"
"2017/3/13","1237"
"2017/3/14","1245"
"2017/3/16","1258"
"2017/3/19","1070"
"2017/3/20","1063"
"2017/3/21","1122"
"2017/3/25","976"
"2017/3/26","1008"
"2017/3/31","1075"
"2017/4/1","1092"
"2017/4/6","1188"
"2017/4/7","1187"
"2017/4/8","1185"
"2017/4/11","1208"
"2017/4/12","1207"
"2017/4/13","1206"
"2017/4/16","1187"
"2017/4/18","1218"
"2017/4/19","1216"
"2017/4/24","1251"
"2017/4/25","1268"
"2017/4/30","1348"
"2017/5/1","1434"
"2017/5/5","1618"
"2017/5/6","1579"
"2017/5/7","1597"
"2017/5/11","1874"
"2017/5/12","1856"
"2017/5/13","1813"
"2017/5/16","1786"
"2017/5/18","1904"
"2017/5/19","2005"
"2017/5/24","2524"
"2017/5/25","2764"
"2017/5/27","2260"
"2017/5/30","2302"
"2017/5/31","2311"
"2017/6/5","2687"
"2017/6/6","3000"
"2017/6/8","2815"
"2017/6/11","2997"
"2017/6/12","2997"
"2017/6/15","2535"
"2017/6/17","2685"
"2017/6/18","2662"
"2017/6/21","2772"
"2017/6/23","2765"
"2017/6/24","2758"
"2017/6/27","2552"
"2017/6/29","2589"
"2017/6/30","2559"
"2017/7/2","2514"
"2017/7/4","2632"
"2017/7/5","2623"
"2017/7/6","2617"
"2017/7/7","2916"
"2017/7/11","2413"
"2017/7/12","2424"
"2017/7/13","2425"
"2017/7/16","2059"
"2017/7/17","2230"
"2017/7/18","2388"
"2017/7/20","2901"
"2017/7/23","2832"
"2017/7/24","2777"
"2017/7/26","2611"
"2017/7/28","2897"
"2017/7/29","2809"
"2017/7/30","2759"
"2017/8/1","2921"
"2017/8/4","2899"
"2017/8/5","3290"
"2017/8/8","3485"
"2017/8/10","3453"
"2017/8/11","3680"
"2017/8/15","4456"
"2017/8/16","4381"
"2017/8/17","4485"
"2017/8/21","4109"
"2017/8/22","4129"
"2017/8/23","4256"
"2017/8/25","4456"
"2017/8/28","4404"
"2017/8/29","4626"
"2017/9/2","4975"
"2017/9/3","4714"
"2017/9/4","4592"
"2017/9/8","4661"
"2017/9/9","4309"
"2017/9/10","4245"
"2017/9/12","4345"
"2017/9/15","3733"
"2017/9/16","3809"
"2017/9/17","3665"
"2017/9/19","4094"
"2017/9/21","3916"
"2017/9/22","3758"
"2017/9/27","4210"
"2017/9/28","4279"
"2017/9/29","4215"
"2017/10/2","4470"
"2017/10/3","4432"
"2017/10/4","4352"
"2017/10/9","4879"
"2017/10/10","4922"
"2017/10/11","4874"
"2017/10/15","5852"
"2017/10/16","5776"
"2017/10/18","5604"
"2017/10/21","6195"
"2017/10/22","6076"
"2017/10/23","6076"
"2017/10/25","5754"
"2017/10/27","5988"
"2017/10/28","5877"
"2017/11/2","7367"
"2017/11/3","7461"
"2017/11/7","7253"
"2017/11/8","7776"
"2017/11/9","7447"
"2017/11/12","6625"
"2017/11/14","6765"
"2017/11/15","7342"
"2017/11/20","8337"
"2017/11/21","8349"
"2017/11/23","8267"
"2017/11/26","9523"
"2017/11/27","9818"
"2017/11/29","11517"
"2017/12/2","11320"
"2017/12/3","11859"
"2017/12/4","11657"
"2017/12/8","18353"
"2017/12/9","16783"
"2017/12/10","15851"
"2017/12/12","17782"
"2017/12/14","17086"
"2017/12/15","18154"
